46826/109
Arrow Airlines
Arrow Airways
Arsenyev Aviation Production Association
Asa Pesada
Asian Spirit
Asiana Airlines
Aspring Air
Associated Air Transport
Associated Airways
Associated Aviation
Associated Aviators
Astrd Wing Aviaiton - Air Taxi
Astro Air Taxi
Atlantic Airlines
Atlantic Airways
Atlantic Central Airlines
Atlantic Charters
Atlantic City Airlines
Atlantic Coast Airlines (United Express)
Atlantic Southeast Airlines
Atlasjet Airlines
Atran
Augusta Aviaiton - Air Taxi
Aurukun Air Services
Austin Airways
Austral Lineas Aeras (Argentina)
Australian Aerial Services
Australian Corporate Jet Centres PTY. LTD
Australian National Airways
Austria-Flugdienst
Austrian Airlines
Autrex
Avalki Air
Avanti Aviation -Air Taxi
Avensa
Avesca Colombia
Avia Air Aruba
Avia-Taxi
Aviaco
Aviaco Condor
Aviaimpex (Macedonia)
Avianca
Aviastar Mandiri
Aviateca
Aviation Charter - Air Taxi
Aviation Development Corporation
Aviation Enterprises
Aviatour's Fly'n Inc.
Avicsa
Avient Aviation
Avio Linee Italiane
Avio Linee Italiane
Avio Linee Italiane
Aviogenex (Yugoslavia)
Aviolinee
Avion Airways
Avionas  Banamex
Aviones Taxi AIFE
Avioriprese Jet Executive
Avirex
Avis Amur
Avistar Mandari
Avisto
Avjet Corp
Avtex Air Services
Azerbaijan Airlines
Azerbaijani Airlines
Azov Avia Airlines
Azzi
Aéreo Ruta Maya
Aéropro
Aérotaxi Cachanilla
BAFIN
BAL Bremerhaven Airline
BHS - Brazilian Helicopter Service  Air Taxi
BHS - Brazilian Helicopter Service Air Taxi
BHS - Brazilian Helicopter Services
BKS Air Transport
BOAC
Bahia Taxi Aéreo
	
Bahia Taxi Aéreo
	
Bahia Taxi Aéreo
Bahri Aviation
Baikal Air
Baker Aero Inc. - Taxi
Bakhtar Afghan Airlines
Bako Air
Balair
Bali International Air Service
Balkan Bulgarian Airlines
Bangkok Airlines
Bangkok Airways
Bangladesh Biman
Bankair
Bankair Inc. - Air Taxi
Bar Harbor Airlines
Baron Aviation
Barrow Air Service - Air Taxi
Bashkirian Airlines / DHL Worldwide Express
Bassett Complany - Taxi
Bavaria Flug
Bay Land Aviation
Bay of Plenty Airways
Bazair
Bearskin Airlines
Bearskin Airlines / Air Sandy
Beatty Flying Service - Taxi
Belair - Air Taxi
Belgian International Air Services
Belize Air International Ltd.
Bellview Airlines
Berkshire Aviation - Air Taxi
Bharat Airways
Bhoja Airlines
Big Island Airlines
Bimini Air Charter Inc.
Bimini Airways
Binter Mediterráneo
Blackhawk Int. Airways  - Private charter
Blue Bird Air Service
Blue Bird Aviation
Blue Hawaiian Helicopter
Blue Hawaiian Helicopters
Blue Water Aviation Services
Blue Wing Airlines
Blue Wings Airlines
Bodensee Aerolloyd
Boeing Air Transport
Boeing Aircraft Company
Boeing KC-135E
Boise Air Service
Bombardier Aerospace
Bonanza Airlines
Bond Air Services Ltd.
Bond Offshore Helicopters
Border Security Force
Borneo Airways
Bourag Indonesia Airlines
Bouraq Indonesia Airlines
Braathens
Bradley Air Services
Branch River Air Service
Braniff Airlines
Braniff Airways
Bremerton-Seattle Air Taxi / Gorst Air Lines
Bristol 170 Freighter 31M
Bristol Aeroplane Co.
Bristop Aeroplane Company
Bristow Helicopters
Brit Air
Britannia Airways
Britavia
British Aircraft Corporation
British Airtours
British Airways
British Airways Helicopters
British Columbia Airways
British Commonwealth Pacific Airlines
British Eagle International Airlines
British European Airways
British European Airways / Military - British
British European Airways / Military - Soviet Air Force
British International Helicopters
British Midland Airways
British Overseas Airways
British Overseas Airways /Qantas
British South American Airways
British United Airways
British World Airways
Britt Airways
Broughton Air Servces
Broward Aviation Services - Air Taxi
Bruning Aviation
Bruno Air
Bruns Air Service - Air Taxi
Buckeye Air Service - Air Taxi
Buddha Air
Buffalo Narrows Airways
Bulair TABSO
Burke Air Transport
Burlington Air - Air Taxi
Burlington Air Express
Burma Airways
Business Air Connection
Business Aircraft - Air Taxi
Business Jet Services
Butler Aviation Inc.
By Air
C and C Aviation - Air Taxi
CAAC
CAAC Air Traffic Management Bureau
CAAK
CAMBA
CATA
CATA Linea Aerea
CATC
CC Air
CCCP
CHC Helikopter Service
CIDNA
CNAC
COHATA
COPA (Panama)
CORAL Colombia
CSA Czech Airlines
CTA Languedoc Roussillon
Cable Commuter
Cabo Verde Airlines
Calair
Caledonian Airways
California Air Charter
California Air Freight
California Air National Guard
California Aircraft
Cambodia Air
Cameroon Airlines
Campagnie France Roumaine
Canada Jet Charters
Canadian Colonial Airways
Canadian Pacific Air Lines
Canair Cargo
Canair Corp. - Air Taxi
Canairelief Air
Cape Smythe Air Service
Capital Airlines
Capital Airlines / Military - Air National Guard
Capital Airlines Inc.
Capital Taxi Aereo
Capitol Air Service - Air Taxi
Capitol Airlines
Capitol Airways
Caproni Company
Care Flight International
Carga Aereo Transportada
Carga del Caribe
Cargo Three Panama
Cargolux
Carib Air Transport
Caribbean Air Carrier - Air Taxi
Caribbean Airlines
Caribbean International Airways
Carvair ATL-98
Cascade Airways
Casino Air - Air Taxi
Caspian Airlines
Castle Aviation
Catalina - Vega - Air Taxi
Catalina Airlines
Cathay Pacific Airways
Cathy Pacific
Cebu Pacific Air
Central  Airlines (Universal Aviation Corporation)
Central African Airways
Central Air Services
Central Air Transport
Central Airlines
Central American Airways
Central Mountain Air Services
Centurian Air Cargo
Century Air Lines
Century Pacific Lines
Ceskoslovenske Aerolinie
Ceskoslovenské Aerolinie
Cessnyca
Chaillotine Air Service
Chalk's International Airlines
Chalk's Ocean Airways
Chamberlin Flying Service
Channel Air Lift
Channel Airways
Channel Express
Channel Flying Service - Air Taxi
Chartair - Air Taxi
Charter
Charter - Aerotaxi
Charter - Air Adventures New Zealand Ltd
Charter - Air Cush
Charter - Central Air
Charter - Flightline Charter Services
Charter - IRS Aero
Charter - Maniema Union (owner Victoria Air)
Charter - Private
Charter - Twin Air HB
Charter -Federal Electricity Commission
Charter, Golden Eagle Aviation Inc.
Chelan Air Service
Cheremshanka Airlines
Chester Airport  Taxi
Chicago Helicopter Airways
Chicago Southern Airlines
Chicago and Southern Airlines
Chicago-Detroit Airways
Chilean Air Force
China Air Lines
China Airlines
China Airlines (Taiwan)
China Eastern Airlines
China Flying Dragon Aviation (Feilong Airlines)
China General Aviation Corporation
China National Aviation Corporation
China Northern Airlines
China Northwest Airlines
China Southern Airlines
China Southern Airlines / Xiamen Airlines
China Southwest Airlines
Chugiak Aviation - Air Taxi
Churchill Falls Co.
Cia Brasiliera de Tratores
Cie Air Transport
Cie des Messageries Aeriennes
Circuit City Stores - Charter
City-Jet
Civil Air Transport
Clarkes Thunder - Air Taxi
Classic Wings
Coastal Air Lines
Coastal Cargo
College of the Ozarks
Colonial Air Transport
Colonial Western Airlines
Columbia Air Cargo
Columbia Pacific Airlines
Comair
Commercial Air Taxi
Commercial Airways
Commercial Airways (Comair)
Communicaciones Aereos de veracruz
Commutair
Commuter Airline - Air Taxi
Compagnie Africaine d' Aviation (CAA)
Compagnie Air Transport
Compagnie Franco-Roumaine de Navigaation Aerienne
Compagnie Internationale de Navigation Aérienne
Compagnie Sila
Compania Dominicana de Aviacion
Compania Mexicana de Aviacion
Compania de Aviacion Faucett SA (Peru)
Compania de Mexico
Compañia Colombiana de Navegación Aérea
Comvac Aviation
Condor Flugdienst
Conesul Taxi Aéreo
Congo Airline
Connair
Connie Kalitta Services
Conquest Airways - Air Taxi
Continental Air Lines
Continental Air Services
Continental Air Transport
Continental Airlines
Continental Charters
Continental Connection/Colgan Air
Continental Express
Continentale Deutsche Luftreederei
Conviasa
Conviasa�Airline
Cooper Skybird Air Charters
Copterline
Cordova Airlines
Corp. Aeronautica de Transportes
Corporacion Boliviano de Fomento
Corporate Air
Corporate Air - Air Taxi
Corporate Airlines (American Connection)
Corporate Mobility Inc. - Private
Costal Airway
Costal Aviation
Cougar Helicopters
Coval Air
Crasa - Air Taxi
Crest Airlines - Air Taxi
Cross Airways
Crossair
Cruzeiro
Cruzeiro Do Sud
Cruzeiro do Sul
Cubana (leased from Global Air)
Cubana de Aviacion
Cubana de Aviacion / Military -  US Navy
Cubana de Aviacon
Cunard Eagle Airways
Currey Air Transport
Curtiss-Reid Flying Services Ltd. (Canada)
Custom Air Service
Czechoslovak Airlinex
DDL
DETA
DHL
DHL Aviation Africa
DJB Air Charter
DNL Norwegian Air Lines
DTA Angola Airlines
Daallo Airlines
Dagestan Airlines
Dai Nippon
Daimler Airways
Daimler Airways / Grands Express Aeriens
Dalmia Jain Airways
Dan Air Services
Dan-Air Services
Dana Air
Darbhanga Aviation
Deccan Airways
Del Rio Flying Service - Air Taxi
Delaware Aviation - Air Taxi
Delta Air Lines
Delta Air Lines/ North Central Airlines
Deming Flying Service - Air Taxi
Den Norske Luftfartskole
Denver Air Center
Deraps Aviation
Deraya Air Taxi
Derby Aviation
Deruluft
Det Danske Luftfartselskab
Deutche Lufthansa
Deutsche Flugdienst
Deutsche Lufthansa
Deutsche Zeppelin Reederei
Devener Flying Service - Taxi
Devlet Hava Yollairi
Devlet Hava Yollari
Dirgantara Air Service
Dirgantara Air Services
Divi Divi Air
Djibouti Airlines
Dodita Air Cargo
Dominicana
Dominion Air Lines
Don Everall Aviation
Don Zimmerman - Air Taxi
Douglas Aircraft
Douglas Aircraft Company
Douglas Airways
Downeast Airlines
Duncan Aircraft Sales
Dunlap Aviation - Air Taxi
Dutch Continental Airways
Dutch Dakota Association
Dwyer Flying Service - Private Charter
E.A.S. Aeroservizi
EAS Airlines (Executive Airline Services)
EDELCA
ELK Aviation Co. (leased from Eminex)
ERA Aviation - Air Taxi
ERA Helicopter
ETA - Empresa Transportes Aéreos
ETA Air Charter
EXA Inc.
Eagle Air
Eagle Airways
Eagle Aviation
Eagle Cap Leasing
Eagle Commuter
Eagle Flight - Air Taxi
East African Air Charters
East African Airways
East Coast Air - Air Taxi
East Coast Jets
East Indonesia Air Taxi
East Provincial Airways
Eastern Air Lines
Eastern Air Lines / Military - Bolivian Air Force
Eastern Air Lines / Military - U.S. Army Air Corps
Eastern Air Lines / Military - USN
Eastern Air Transport
Eastern Provincial Airways
Ecuatair
Ecuato Guineana de Aviacion
Edde Airlines
Edinburgh Air Charter
EgyptAir
Egyptair
Eitos
Ejercito del Aire
El Al
El Magal Aviation
Elbee Airlines
Embry Riddle Company
Emery Worldwide
Emirates
Emirates Air Transport
Empire Airlines
Empire Airlines leased from FedEx
Empresa Aviacion del Pacifico
Empresa Nacional de Transp.  Trabalho Aereo
Empressa Commun. Aéreas de Veracruz
Enimex
Era Helicopter - Air Taxi
Ethiopian Airlines
Eurasia
Eureka Aero Inc. - Air Taxi
Euro Asia Aviation
Euroair
Eurojet Italila
Europe Aero Service EAS
Everest Air
Evergreen Alaska Helicopters, Inc.
Evergreen Helicopter - Air Taxi
Evergreen International Airlines
Evolga
Executive Air - Air Taxi
Executive Airlines
Executive Funds
Executive Jet Sales Inc.
Exportada De Sal S.A.
Express Airlines - Northwest Airlink
Expresso Aéreo
F.R. de la Direccion General de Ados
FAMA (Argentina)
Fairbanks Air - Air Taxi
Fairbanks Air Service - Taxi
Fairflight Ltd.
Fairways (Filipinas Orient Airways)
Falcon Airways - Air Taxi
Falcon Aviation Group
Far Aviation - Air Taxi / Speeds Flying - Air Taxi
Far East Aviation
Far Eastern Air Transport
Faraz Qeshm Airlines
Farnair Hungary
Faucett
FedEx
Federal Airlines
Federal Express
Fedex operating for Baron Aviation
Ferg's Air Charter
Festus Flying Service - Air Taxi
Fiji Air
Fiji Air Services
Filair
Filipinas Orient Airways
Fine Air
Finnair
First Air
Flamingo Airlines - Air Taxi
Flash Air
Fleming Airways System Transport
Fleming International Airways
Flight Safety Australia
Flight Service
Flightline
Florida Commuter Airlines
Flota Aérea Mercante Argentina
Flugefelag
Flugfelag Austurlands
Fly 540
Fly Jamaica Airways
Fly Montserrat
Fly SAX
Flydubai
Flying Tiger Line
Flying W Airways
Flynn's Ferry Service
Fokker
Force Area Populaire de Angola
Ford Air Freight Inc.
Formosa Airlines
Fortaire Aviation - Air Taxi
Foster Aviation
Fragtflug
Francisco Cruz
Franco-Roumaine
Fred Olsen Flyveselskap
Freedom International
Fretzx Taxi Aereo
Frigorifico Cooperativo Los Andes
Frigorifico Maniqui
Frigorifico Reyes
Frigorifico Santa Rita
Frontier Air
Frontier Airlines
Frontier Flying Service
Frontier Flying Service - Air Taxi
Fuerza Aerea Mexicana
Fuerza Area Angolaise
Fuerza Aérea Argentina
Fuerza Aérea Colombiana
Fuerza Aérea Nicaragua
Fuerza Aérea Panamena
Fuerza Aérea Uruguaya
Fuerza Aérea Venezolana
Fuerza Aérea del Peru
Fuji Airlines
Fujita Koku Kabushki Kai
Fun Air
G & W Aviation
GAS Air
GCI Communications Corp.
GLM Aviation
GP Express Airlines
GT Air
Gabon Express
Gaige Aviation - Air Taxi
Galaxy Airlines
Galaxy Kavatsi Airlines
Galena Air Service - Air Taxi
Galesburg Aviation - Air Taxi
Gambcrest
Gander Aviation
Garamut Aviation
Garuda  Indonesia Airlines / Garuda Indonesia Airlines
Garuda Indonesia Airlines
Gastonia Aviation - Taxi
Gay Airways - Air Taxi
General Air
General Airways
General Aviation Inc.
Georgia Express
Georgian Air
Geoterrex
Germanwings
Ghana Airlink
Ghana Airways
Ginger Coote Airways
Gira Globo Charter
Global Executive Aviation
Globe Air
Glow Air/Air Castle - Charter
Gol Airlines / Private
Golden Star Air Cargo
Golden West Airlines / Private
Goose Bay Air Services
Gor'ky Eskadril'ya
Goroka Air Services
Government of Mozambique
Grand Aire
Grand Canyon Air - Air Taxi
Grand Canyon Airlines
Grand Canyon Airlines / Helitech
Grands Express Aeriens
Grands Express Aeriens (Air Union)
Great Lakes Business Complany
Great Western and Southern Air Lines
Greek Government
Green Acres - Air Taxi
Green River Aviation - Air Taxi
Greenbriar Airways Taxi
Greylock Airways / Private
Guardia Nacional de Venezuela
Guernsey Airways
Guiena Airways
Guinea Airways
Guinea Airways Limited
Gulf Air
Gulf Aviation (Kalinga Airways)
Gum Air Charter
Guyana Airways
HESA
Hageland Aviaiton Services
Hageland Aviation Services
Hageland Aviation Services Inc.
Hageland Aviiation
Haines Airways - Air Taxi
Hallo Bay Air - Air Taxi
Halvorson - Air Taxi
Hamilton Aviation
Handley Page Transport
Hang Khong (Vietnam)
Hankins Airways - Air Taxi
Harbor Airlines - Air Taxi
Harbour Air
Harbour Air Seaplanes Ltd.
Hargreaves Airways
Harka Air Services
Harold E. Bell - Air Taxi
Harold's Air Service
Harrington's Inc
Harry Faulkner - Air Taxi
Harvey's Flying Service - Air Taxi
Hati Express
Havasu City Air - Air Taxi
Haïti Air Inter
Heart of Texas Hot Air Balloon Rides
Heavylift Cargo Airlines
Helaire Helicopter
Heli-USA Airways
Heli-USA Airways, Inc - Air Taxi
HeliCusco
Heliandes
Helicol Colombia
Helicopter - Air Taxi
Helicopteros Nacionales de Colombia
Helicopters Inc / KOMO TV
Helicsa
Helikopter Service
Helios Airways
Helisul Taxi Aéreo
Heliwork WA Pty Ltd. - Air Taxi
Henan Airlines
Henry Nichols - Air Taxi
Henry Webber Air - Air Taxi
Herfurtner Company
Heringer Air Taxi
Heringer Taxi Aero
Hesler Noble - Air Taxi
Hevlift
Hewa Bora Airways
HiTech Helicopters
Hibiscus Air
Hillman Airways
Himmelsschreiber
Hlavka Aviation - Air Taxi
Holdens Air Transport Service
Holmstoem Air
Holyman Airways
Homer Air Service - Air Taxi
Horizon Properties
Hornbill Airways
Hoseba
Houston Metro Airlines
Houston-Beech - Air Taxi
Hudgin Air Service
Hughes Airwest  / Military - US Marine Air Corps
Hunter Airways
Hunting Air Travel
Huron Air
